date time lon lat dep Mb Ms strike1 dip1 rake1 strike2 dip2 rake2  mrr mtt mpp mrt mrp mtp p_trend p_plu p_eigen b_trend b_plu b_eigen t_trend t_plu t_eigen scale exponent event_name
1989/09/22 02:25:53.5 102.46 31.55 33.0 6.0 6.1 352 18 61 202 74 99 0.710 0.385 -1.095 -0.541 -1.367 -0.324 125 60 1.540 20 9 0.410 285 29 -1.960 1.750 25 B092289A 
1994/12/29 18:58:30.3 103.85 29.09 33.0 5.3 4.8 38 55 147 149 63 40 3.321 3.092 -6.413 2.037 -0.883 -0.444 7 46 5.320 177 43 1.180 272 5 -6.500 5.910 23 B122994C 
2008/02/26 17:50:03.6 101.77 30.08 24.2 4.9 0.0 340 78 -7 71 83 -168 -1.340 4.170 -2.830 -0.795 -0.601 -4.220 205 4 6.181 100 76 -1.157 296 14 -5.025 5.603 23 C200802261750A 
2008/05/12 06:28:01.6 103.32 31.00 19.0 6.9 8.1 231 35 138 357 68 63 0.569 0.010 -0.579 -0.199 0.561 -0.348 229 58 0.913 9 25 -0.031 107 18 -0.881 0.897 28 C200805120628A 
2008/05/12 11:11:02.5 103.62 31.21 10.0 5.7 6.1 204 71 -169 110 80 -19 -0.560 1.390 -0.830 -0.351 0.205 1.120 158 6 1.882 263 68 -0.460 66 21 -1.422 1.652 25 C200805121111A 
2008/05/12 20:08:50.4 103.89 31.41 21.7 5.7 5.6 227 41 132 357 61 60 2.400 0.378 -2.780 -0.686 1.430 -1.410 219 62 3.171 13 26 0.357 108 11 -3.529 3.350 24 C200805122008A 
2008/05/12 23:46:19.0 103.53 31.28 10.0 5.3 0.0 116 59 -7 210 84 -149 -0.081 0.699 -0.618 0.138 0.477 0.442 339 17 0.916 220 58 0.044 77 26 -0.959 0.938 24 C200805122346A 
2008/05/12 23:54:46.9 103.53 31.30 10.0 5.2 0.0 63 37 -99 254 54 -83 -4.000 4.490 -0.497 1.430 0.251 2.280 339 8 5.587 70 5 -1.355 193 80 -4.239 4.913 23 C200805122354A 
2008/05/13 07:07:08.5 103.19 30.89 9.0 5.8 5.8 213 42 109 7 51 73 4.880 0.299 -5.180 -0.580 1.170 -2.220 219 76 5.169 18 13 0.873 109 5 -6.043 5.606 24 C200805130707A 
2008/05/14 02:54:40.0 103.52 31.33 18.8 5.3 5.5 215 80 -177 124 87 -10 -0.574 1.990 -1.410 -0.259 0.110 0.652 170 5 2.131 288 80 -0.569 79 9 -1.556 1.843 24 C200805140254A 
